;link;title;description;price;location;typeflat;img
49;https://www.spareroom.co.uk/flatshare/hampshire/portsmouth/15772795;Double Room, Professional house-share;"
	

All   inclusive   double   room   in  a  friendly   professional   house-share.   Large   bright   house,   fully   licenced   and   accredited.  ...";£490pcm;Portsmouth (PO2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/81/38/81380876.jpg
50;https://www.spareroom.co.uk/flatshare/london/angel/16339211; Brand New Refurbished Flat in Zone 1;"
	

I am proud to present this rooms in this amazing flat share to be safe and comfort.

The area is fantastic, you can't really beat it. You have...";£235- £290pw;Angel (N1);4 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345268.jpg
51;https://www.spareroom.co.uk/flatshare/avon/lower_langford/16339209;Room to rent in Langford *Near vet school*;"
	

Lovely double room available in a 5-bed house in Langford. 3 minute walk from Bristol veterinary school. Big front garden and a smaller one off the...";£412pcm;Lower Langford (BS40);Double room;no image
52;https://www.spareroom.co.uk/flatshare/london/london_se5/8556541;Huge flat 10 mins walk King's College Hospital;"
	

1 fully furnished double rooms available in Central Camberwell, 10 minutes walk to King's College Hospital and Camberwell College of Arts
Flatshare,...";£800pcm;London SE5 (SE5);Double room;no image
53;https://www.spareroom.co.uk/flatshare/cheshire/chester/4682830;Double bedroom available in 3 bed house share .;"
	

There is a good sized furnished double bedroom available in a well presented, 3 bedroom professional house share, available from Sept 2022.


The...";£355pcm;Chester (CH1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/10/93/10939678.jpg
54;https://www.spareroom.co.uk/flatshare/dorset/poole/16273492;Double Room for single occupancy ;"
	

Monday to Friday Only.   1 month minimum term.  Im looking for a working professional to rent my room.  Its fully furnished with everything new - bed,...";£600pcm;Poole (BH17);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/84/89/84891268.jpg
55;https://www.spareroom.co.uk/flatshare/london/brixton/15813874;3 Rooms in 4 bed house,(SW9) Clapham/Brixton;"
	

Available from. 1st September (tenancy start date)

Viewings on:
- Saturday 20th Aug morning and afternoon.
- Sunday 21st Aug afternoon and evening....";£800- £850pcm;Brixton (SW9);3 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/81/48/81488761.jpg
56;https://www.spareroom.co.uk/flatshare/london/chelsea/4542901;Beautiful Flat in Chelsea;"
	

A rare Flat share in Chelsea. 3 bedroom apartment very close to hospitals, doctors, pharmacy, post office, 24 hours bus service, 24 hours restaurants...";£700pcm;Chelsea (SW10);Single room;no image
57;https://www.spareroom.co.uk/flatshare/avon/bristol/11871184;Double | Off Road Parking | Bills Inc;"
	

The room available is a good size, spacious double. It is furnished with king size bed, 2 bedside tables, chest of drawers, and a full-length mirror....";£650pcm;Bristol (BS34);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/56/53/56539954.jpg
58;https://www.spareroom.co.uk/flatshare/london/brixton/16127643;Brixton - Double Room Offer;"
	

Stunning Property In BRIXTON Steps from the station.
Newly refurbished 3 bedroom flat with modern fittings and furniture.
OFFER!

BRIXTON - SW9 -...";£923pcm;Brixton (SW9);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345167.jpg
